id,sum_pos,sum_neg,min_neg,max_pos,num_comments,has_images,has_code_snippets,merged
aha-app-rubocop-aha-3,3,-3,-3,3,1,True,False,True
silverstripe-silverstripe-graphql-21,2,-3,-3,2,1,True,False,True
danliris-bateeq-module-260,1,0,0,1,1,False,False,False
linkedin-photon-ml-74,1,-1,-1,1,1,False,False,True
WordPress-gutenberg-10838,1,-2,-2,1,1,False,False,True
department-of-veterans-affairs-vets-api-2693,1,-1,-1,1,1,False,False,True
alphagov-digitalmarketplace-brief-responses-frontend-8,2,-2,-2,2,1,False,False,True
Carthage-Carthage-2125,1,0,0,1,1,False,False,True
servo-webrender-2925,3,-1,-1,3,1,True,False,True
LLNL-spack-3750,1,0,0,1,1,False,False,True
nasfarley88-dicebeard-6,1,-1,-1,1,1,False,False,True
kubernetes-test-infra-3722,1,-1,-1,1,1,False,False,True
taskcluster-slugid-go-1,1,0,0,1,1,True,False,True
sfackler-rust-security-framework-46,1,-2,-2,1,1,False,False,True
nodejs-node-23657,0,-1,-1,0,1,False,False,False
m-labs-smoltcp-139,1,-1,-1,1,1,True,False,False
salesforce-refocus-989,3,-2,-2,3,1,False,False,True
rapid7-builderator-67,1,0,0,1,1,False,False,True
pingcap-tikv-3120,1,-1,-1,1,1,False,False,True
haconiwa-haconiwa-12,0,-1,-1,0,1,True,False,True
JohnTheSixth-aceable-user-api-1,1,0,0,1,1,False,False,True
elastic-elasticsearch-34909,2,-1,-1,2,1,False,False,True
elixir-ecto-ecto-1896,1,-1,-1,1,1,False,False,False
vimcn-NERD_tree.vim.cnx-5,0,-2,-2,0,1,False,False,True
makersacademy-bowling-challenge-184,2,0,0,2,1,False,False,False
JohnSnowLabs-spark-nlp-204,1,0,0,1,1,False,False,True
sindresorhus-ava-706,0,-1,-1,0,1,False,False,True
ga-wdi-boston-js-functions-ins-and-outs-study-30,1,0,0,1,1,False,False,False
ui-kit-ui-kit-29,1,0,0,1,1,False,False,True
anmonteiro-lumo-367,1,0,0,1,1,False,False,True
rhinstaller-anaconda-423,2,-2,-2,2,1,False,False,False
neovim-neovim-2851,2,-2,-2,2,1,True,False,True
LMMS-lmms-3062,3,-2,-2,3,1,True,True,True
KhronosGroup-glslang-640,0,-2,-2,0,1,False,False,True
ElementsProject-libwally-core-40,1,0,0,1,1,False,False,False
BettercareHealth-bettercare-84,1,0,0,1,1,False,False,True
ucgmsim-qcore-39,1,-1,-1,1,1,False,False,True
StuPro-TOSCAna-TOSCAna-386,1,-1,-1,1,1,True,True,True
kostrzewa-tmLQCD-14,3,0,0,3,1,True,False,True
MarlinFirmware-Marlin-4240,2,-1,-1,2,1,True,False,True
webpack-contrib-npm-install-webpack-plugin-36,1,0,0,1,1,False,False,False
UW-Hydro-tonic-18,1,-1,-1,1,1,False,False,False
aspnet-EntityFrameworkCore-10604,1,-1,-1,1,1,False,False,True
githubteacher-dev-mar-6-81,2,0,0,2,1,False,False,True
free-electrons-custom_tests_tool-1,2,-3,-3,2,1,False,False,True
apple-swift-18016,1,-2,-2,1,1,False,False,True
cljsjs-packages-1689,2,-2,-2,2,1,True,False,True
samtools-htsjdk-770,1,-1,-1,1,1,True,False,True
theochem-horton-139,1,-1,-1,1,1,False,False,True
ekintumer-gd431-2,2,-1,-1,2,1,True,False,True
mozilla-fxa-content-server-4298,2,0,0,2,1,False,False,True
CartoDB-cartodb-10269,2,0,0,2,1,False,False,True
caouecs-Laravel4-lang-344,1,0,0,1,1,False,False,True
TooAngel-screeps-219,1,0,0,1,1,False,False,True
adrian-lara-quantified-self-19,1,0,0,1,1,True,False,True
broadinstitute-cromwell-278,2,-2,-2,2,1,True,False,True
dropbox-nsot-259,1,0,0,1,1,False,False,True
treasure-data-digdag-276,0,-1,-1,0,1,True,False,True
EndemolShineGroup-generator-nodejs-ts-34,1,-1,-1,1,1,True,False,True
